    REF_GAIN           0     1.09934    0.231134           3
        G183      466.19     1.76419     3264.02     106.204           0
        G184     404.106     1.71111     5357.71      146.43           0
        G185     633.622     1.76759     3943.19     126.282           0
        G186     597.197     1.78175     2951.29     93.6414           0
        G205     478.034     3.10494     6186.12     167.483           0
        G206     428.746     3.45197     5256.57     134.164           0
        G207     426.408     2.73228     6457.56     202.256           0
        G208     480.174     2.85969     4428.64     143.343           0
        G209     660.438     2.64154     4608.46     145.185           0
        G210     622.198     2.51524     4450.49     159.252           0
        G211     658.732     2.17251     2581.42      58.447           0
        G212     462.185     1.60836     5367.99     178.888           0
        G213     369.026     1.82739     5647.31     150.308           0
        G214     324.246     1.69483     4357.11     137.162           0
        G215     341.003     1.60726        5539     176.057           0
        G216     452.816     1.63067     2953.09     101.405           0
        G235     600.245      3.4441     5010.95     163.998           0
        G236     544.839     2.70213     3011.45     105.738           0
        G237     411.917     3.29871     2414.76     102.196           0
        G238     391.912     2.89094     5270.51     165.517           0
        G239     451.699     2.78161     4428.99     139.927           0
        G240     460.152     2.34023     4670.65     183.518           0
        G241     530.319     2.22891     4043.07      112.71           0
        G242     472.231     2.07726     3984.37      116.77           0
        G243     448.224     2.08994     5589.49      164.05           0
        G244     569.204     2.01987     3522.59     97.6136           0
        G245     389.412     2.00104     4306.87     114.684           0
        G246     516.262      2.2838     5094.71     179.056           0
        G265     558.432      2.1497      4418.5      122.53           0
        G266     515.566     2.59364     1420.83     59.2596           0
        G267     522.851     3.27003     3674.72     131.837           0
        G268     563.654       2.423     1698.52      74.996           0
        G269     437.983     1.87494     4869.26     191.194           0
        G270     451.471     2.66955     6540.93     198.462           0
        G271       404.6     1.91815     4207.22     103.219           0
        G272     421.594     1.85359     3758.11     99.6208           0
        G273     448.136     2.12936     3468.68      95.663           0
        G274         508     2.24981     3352.99     95.0455           0
        G275     567.698     3.28614     3307.27     108.832           0
        G276     403.583     3.25073      4341.4     129.406           0
        G295     470.312     2.80666     5536.12     135.867           0
        G296     472.254     3.27763     5574.63     146.388           0
        G297     586.813     2.47293     7227.08     217.742           0
        G298     632.717     3.17479     4973.45     189.383           0
        G299     463.601     2.54498     4826.68     128.166           0
        G300     546.821     2.63375     4268.54     132.406           0
        G301     614.415     3.32865     5305.38     130.329           0
        G302     480.645     2.74799     3073.62     116.589           0
        G303     304.497     2.90612     3309.91     100.755           0
        G304     432.465     2.76202     2073.48     74.3522           0
        G305     389.388     2.71365     3258.41     92.3148           0
        G306     432.685     2.54962     2864.08     91.1132           0
        G325     521.398     2.08034     6166.63     191.509           0
        G326     557.877     3.28148     4674.91      155.72           0
        G327     424.119     2.43713     4631.46     126.743           0
        G328     367.076     2.51621     4659.93     148.536           0
        G329     395.953     2.91018     5380.11     151.544           0
        G330     427.917      2.4762     6983.96     190.405           0
        G331     462.217     2.92924     5270.37     143.203           0
        G332     480.441     2.71554     3069.22     102.978           0
        G333     642.637     3.03011      3842.8     95.4205           0
        G334     525.882     2.55597     2996.05     83.6285           0
        G335      382.26     2.67806     3603.15      100.74           0
        G336     320.274     2.56782      2535.2     100.288           0
        G355     597.119     2.97221     5436.33     137.566           0
        G356     524.293     3.11026     7954.35     209.912           0
        G357     621.934     2.48362     6010.23     175.373           0
        G358     529.598     2.82528     4736.35     203.604           0
        G359     392.654     2.25779     3322.75     142.196           0
        G360     352.128     2.59983      4544.6     149.826           0
        G361     427.224     2.64503     3973.31     115.844           0
        G362     499.341     2.69909     3700.54      107.99           0
        G363     599.049     3.50208     2178.89     73.9646           0
        G364     572.528     3.01279     2962.17     135.144           0
        G365     462.949     3.34222      3246.3     103.681           0
        G366     391.687     3.01337     3472.01      90.202           0
        G385     412.176     2.83323     4225.13     141.842           0
        G386     432.691     3.14937     742.047     37.3932           4
        G387     549.084     3.51507     4066.19     128.141           0
        G388     549.719     3.86742     5745.62     141.655           0
        G389     585.295      2.6145     4858.29     162.457           0
        G390      600.06     2.94202     3352.09     112.101           0
        G391     490.232     3.03732     3483.46     106.199           0
        G392     327.917     2.95469     3541.61     115.423           0
        G393     488.257     2.69521     3883.52     156.099           0
        G394     405.092     2.50126     3621.47     106.298           0
        G395     515.083       3.171     3428.92      82.748           0
        G396     497.741      2.8327     4588.28     111.824           0
        G415     491.461       3.629     7293.72      219.28           0
        G416     487.385     3.57697     5416.63     152.515           0
        G417     482.925     3.05493     4320.65     156.866           0
        G418     505.897     3.47534     4477.93     137.099           0
        G419     519.749     3.00195     4980.86     156.694           0
        G420     515.939     2.85592     6315.41      162.58           0
        G421     507.723     2.94358     6958.72      170.73           0
        G422     617.897      2.4218     4992.03     118.589           0
        G423     353.807     2.89547     4233.17     120.004           0
        G424     427.513     2.63573     3544.38     99.0957           0
        G425      449.91     2.53898     4001.34     112.145           0
        G426     473.897     2.41774     2557.11     62.8274           0
        G445     502.999     3.09183      5714.6     141.341           0
        G446      493.06      3.8092     5808.87      190.94           0
        G447     387.534     3.08912     4872.42     140.588           0
        G448     426.385      3.4024     4107.39     142.737           0
        G449     453.526     2.84581     5057.58     141.094           0
        G450     447.283     3.00376     5119.17     184.357           0
        G451     697.032     1.79563     3518.09     92.5684           0
        G452     673.999     1.53696     5092.25     131.967           0
        G453     685.019      1.5455     4016.93     104.803           0
        G454     688.559     1.55055     4923.24     119.581           0
        G455     581.942     1.35677     5819.02     127.212           0
        G456     576.563      1.4513     4274.02     111.331           0
        G475     513.542      3.1878     6965.32     210.717           0
        G476     479.538     3.10246      6523.6     248.788           0
        G477     500.614      2.7364     4157.11     152.033           0
        G478      484.42     3.30392     4266.34     168.712           0
        G479      290.86     2.78007      2241.1     108.497           0
        G480     438.039     3.03067     4618.71      150.14           0
        G481     362.338      1.5737     3660.07     117.015           0
        G482     579.264     1.31809     4641.71     115.206           0
        G483     656.028     1.74518     2442.69     67.9855           0
        G484       661.9     1.47657      4060.5     105.671           0
        G485     632.426     1.33471     3366.38     86.5975           0
        G486     641.953     1.38727     2318.47     58.4286           0
        G505     380.146     1.08726     6447.93     176.192           0
        G506     315.132     1.63389      7299.5      178.87           0
        G507     603.058     2.13311     1807.57      71.765           0
        G508     386.834     1.81295     4038.28     128.377           0
        G509     421.586     1.52248     4862.86     149.764           0
        G510     535.656     1.49204     5099.06     154.502           0
